context,source,target
adjunto al jefe de administracion,administration assistant,adjunto al jefe de administracion
ayudante administracion,administration assistant,ayudante administracion
coordinarod de la administracion,administration coordinator,coordinarod de la administracion
jefe administracion obras,administration coordinator,jefe administracion obras
jefe dpto administracion,administration coordinator,jefe dpto administracion
letrado administracion justicia,administration coordinator,letrado administracion justicia
responsable del departamento de administracion,administration coordinator,responsable del departamento de administracion
responsable departamento administracion,administration coordinator,responsable departamento administracion
responsable departamento administracion personal,administration coordinator,responsable departamento administracion personal
responsable dpto administracion,administration coordinator,responsable dpto administracion
administrador gerente,administration manager,administrador gerente
jefe administracion gerente,administration manager,jefe administracion gerente
responsable administracion,administration manager,responsable administracion
administrativo superior,administration supervisor,administrativo superior
administrativo supervisor,administration supervisor,administrativo supervisor
soporte administracion,administration support,soporte administracion
administraivo,administrative,administraivo
administrativo area,administrative,administrativo area
administrativo judicial,administrative,administrativo judicial
administrativo contable,administrative accountant,administrativo contable
administrativo de cuentas,administrative accountant,administrativo de cuentas
responsable administracion contabilidad,administrative accountant,responsable administracion contabilidad
responsable departamento de contabilidad y administracion,administrative accountant,responsable departamento de contabilidad y administracion
responsable dpto administrativo contable,administrative accountant,responsable dpto administrativo contable
agente administrativo,administrative agent,agente administrativo
agentee administrativo,administrative agent,agentee administrativo
administativo,administrative assistant,administativo
administrativo adjunto gerencia,administrative assistant,administrativo adjunto gerencia
administrativo auxiliar administrativo,administrative assistant,administrativo auxiliar administrativo
auxilar administrativo,administrative assistant,auxilar administrativo
auxiliar administrativo ayudante,administrative assistant,auxiliar administrativo ayudante
auxiliar administrativo becario,administrative assistant,auxiliar administrativo becario
auxiliar administrativo celador,administrative assistant,auxiliar administrativo celador
auxiliar administrativo delineante,administrative assistant,auxiliar administrativo delineante
auxiliar administrativo idiomas,administrative assistant,auxiliar administrativo idiomas
auxiliar administrativo responsable,administrative assistant,auxiliar administrativo responsable
auxliar administrativo,administrative assistant,auxliar administrativo
ayudante administrativo,administrative assistant,ayudante administrativo
ayudante auxiliar administrativo,administrative assistant,ayudante auxiliar administrativo
delineante auxiliar administrativo,administrative assistant,delineante auxiliar administrativo
ordenanza,administrative assistant,ordenanza
administrativo tramitador,administrative clerk,administrativo tramitador
coordinador administrativo,administrative coordinator,coordinador administrativo
coordinador auxiliar administrativo,administrative coordinator,coordinador auxiliar administrativo
jefe administrativo ute,administrative coordinator,jefe administrativo ute
director administrativo,administrative director,director administrativo
administrativo entidad financiera,administrative financial manager,administrativo entidad financiera
administrativo financiero,administrative financial manager,administrativo financiero
departamento administrativo financiero,administrative financial manager,departamento administrativo financiero
gerente administrativo financiero,administrative financial manager,gerente administrativo financiero
gestor administrativo financiero,administrative financial manager,gestor administrativo financiero
jefe administrativo financiero,administrative financial manager,jefe administrativo financiero
responsable dpto administrativo financiero,administrative financial manager,responsable dpto administrativo financiero
administrativo en practicas,administrative intern,administrativo en practicas
administrativo pasante,administrative intern,administrativo pasante
becario administrativo,administrative intern,becario administrativo
interno administrativo,administrative intern,interno administrativo
abogado gestor administrativo,administrative manager,abogado gestor administrativo
gerente administrativo,administrative manager,gerente administrativo
gestor administrativo,administrative manager,gestor administrativo
jefe administrativo,administrative manager,jefe administrativo
jefe de administracion,administrative manager,jefe de administracion
responsable administrativo,administrative manager,responsable administrativo
administrativo,administrative officer,administrativo
administrativo oficina,administrative officer,administrativo oficina
administrativo oficina tecnico,administrative officer,administrativo oficina tecnico
administrativo responsable oficina,administrative officer,administrativo responsable oficina
auxiliar administrativo,administrative officer,auxiliar administrativo
funcionario administrativo,administrative officer,funcionario administrativo
oficial administrativo,administrative officer,oficial administrativo
oficial administrativo contable,administrative officer,oficial administrativo contable
oficial administrativo dpto,administrative officer,oficial administrativo dpto
oficial administrativo personal,administrative officer,oficial administrativo personal
oficial primero administrativo,administrative officer,oficial primero administrativo
oficial segunda administrativo,administrative officer,oficial segunda administrativo
responsable administrativo obras,administrative officer,responsable administrativo obras
tecnico administrativo,administrative officer,tecnico administrativo
administrativo contable recepcionista,administrative receptionist,administrativo contable recepcionista
administrativo de recepcion,administrative receptionist,administrativo de recepcion
administrativo oficina recepcionista,administrative receptionist,administrativo oficina recepcionista
recepcionista administrativo,administrative receptionist,recepcionista administrativo
telefonista recepcionista administrativo,administrative receptionist,telefonista recepcionista administrativo
secretario administrativo,administrative secretary,secretario administrativo
tecnico de administracion,administrative specialist,tecnico de administracion
asistente administrativo,administrative support,asistente administrativo
soporte administrativo,administrative support,soporte administrativo
administrador,administrator,administrador
administrador accionista,administrator,administrador accionista
administrador concursal,administrator,administrador concursal
administrador de fincas,administrator,administrador de fincas
administrador general,administrator,administrador general
administrador mentor,administrator,administrador mentor
administrador responsable,administrator,administrador responsable
administrador tienda,administrator,administrador tienda
administrador trabajador,administrator,administrador trabajador
administrador wintel,administrator,administrador wintel
administrativo civil,administrator,administrativo civil
administrativo sat,administrator,administrativo sat
administrativo urbanismo,administrator,administrativo urbanismo
administrativo urgencias,administrator,administrativo urgencias
administrativo ute,administrator,administrativo ute
azafato administrativo,administrator,azafato administrativo
asistente contable administrativo,administrator accounts assistant,asistente contable administrativo
auxiliar administrativo contable,administrator accounts assistant,auxiliar administrativo contable
contable auxiliar administrativo,administrator accounts assistant,contable auxiliar administrativo
asistente administrativo atencion,administrator customer service,asistente administrativo atencion
administrador desarrollador,administrator developer,administrador desarrollador
jefe admision,admissions manager,jefe admision
tecnico avanzado,advanced technician,tecnico avanzado
asistente de publicidad,advertising assistant,asistente de publicidad
ayudante publicidad,advertising assistant,ayudante publicidad
asesor de publicidad,advertising consultant,asesor de publicidad
director de publidad,advertising director,director de publidad
ejecutivo publicidad,advertising executive,ejecutivo publicidad
piblicista,advertising executive,piblicista
publicista,advertising executive,publicista
jefe de publidad,advertising manager,jefe de publidad
responsable de promociones,advertising manager,responsable de promociones
responsable de publicidad,advertising manager,responsable de publicidad
jefe ventas publicidad,advertising sales manager,jefe ventas publicidad
administrativo asesoria,adviser,administrativo asesoria
asesor,adviser,asesor
asesor integral,adviser,asesor integral
asesor laboral,adviser,asesor laboral
consejero,adviser,consejero
asesor colaborador,advisor,asesor colaborador
asesor contenidos,advisor,asesor contenidos
asesor coordinador,advisor,asesor coordinador
asesor creacion,advisor,asesor creacion
asesor de cambio,advisor,asesor de cambio
asesor de descanso,advisor,asesor de descanso
asesor delegado,advisor,asesor delegado
asesor departamento,advisor,asesor departamento
asesor general,advisor,asesor general
asesor municipal,advisor,asesor municipal
asesor musical,advisor,asesor musical
asesor patrimonio,advisor,asesor patrimonio
asesor presidente,advisor,asesor presidente
asesor publicitario,advisor,asesor publicitario
asesor pyme,advisor,asesor pyme
asesor renta,advisor,asesor renta
asesor responsable,advisor,asesor responsable
asesor sistemas,advisor,asesor sistemas
asesor superior,advisor,asesor superior
asesor telefonia,advisor,asesor telefonia
asesor urbanismo,advisor,asesor urbanismo
asesor web,advisor,asesor web
consejero asesor,advisor,consejero asesor
jefe de posventa,aftermarket manager,jefe de posventa
director agencia,agency director,director agencia
director de agencia,agency director,director de agencia
subdirector agencia,agency director,subdirector agencia
encargado agencia,agency manager,encargado agencia
agente,agent,agente
agente consignatario,agent,agente consignatario
agente de cruceros,agent,agente de cruceros
agente distribuidor,agent,agente distribuidor
agente exclusivo,agent,agente exclusivo
agente jugadores,agent,agente jugadores
agentee exclusivo,agent,agentee exclusivo
director de agentes colaboradores,agent manager,director de agentes colaboradores
responsable corredores,agent manager,responsable corredores
agente de producto,agent production,agente de producto
animadora cultural,agricultural,animadora cultural
tecnico mantenimiento aeroportuario,aircraft technician,tecnico mantenimiento aeroportuario
embajador,ambassador,embajador
analista,analyst,analista
analista de estudios,analyst,analista de estudios
analista de siniestros,analyst,analista de siniestros
analista de telecomunicaciones,analyst,analista de telecomunicaciones
analista deportivo,analyst,analista deportivo
analista organico,analyst,analista organico
analista recuperaciones,analyst,analista recuperaciones
redactor analista,analyst,redactor analista
analista administrativo,analyst administrator,analista administrativo
analista desarrollador,analyst developer,analista desarrollador
analista desarrollador java,analyst developer,analista desarrollador java
analista programador de proyectos,analyst developer,analista programador de proyectos
analista gestor,analyst manager,analista gestor
analista funcional analista programador,analyst programmer,analista funcional analista programador
analista funcional programador,analyst programmer,analista funcional programador
analista programador,analyst programmer,analista programador
analista programador / programador,analyst programmer,analista programador / programador
analista programador sistemas,analyst programmer,analista programador sistemas
analista programador sr,analyst programmer,analista programador sr
jefe analista programador,analyst programmer,jefe analista programador
programador / analista programador,analyst programmer,programador / analista programador
programador analista,analyst programmer,programador analista
programador analista programador,analyst programmer,programador analista programador
responsable analista programador,analyst programmer,responsable analista programador
ingeniero analista,analyst software engineer,ingeniero analista
director analista,analytics manager,director analista
desarrollador android,android developer,desarrollador android
desarrollador aplicaciones android,android developer,desarrollador aplicaciones android
desarrollador aplicaciones moviles android,android developer,desarrollador aplicaciones moviles android
desarrollador web android,android developer,desarrollador web android
desarrollo android,android developer,desarrollo android
adjunto anestesia,anesthesiological physician,adjunto anestesia
residente anestesia,anesthesiology resident,residente anestesia
animador,animator,animador
animador modelador,animator,animador modelador
animador polivalente,animator,animador polivalente
animador social,animator,animador social
animadora polivalente,animator,animadora polivalente
ilustrador animador,animator illustrator,ilustrador animador
ilustradora animadora,animator illustrator,ilustradora animadora
analista de aplicaciones,application analyst,analista de aplicaciones
desarollador de aplicaciones,application developer,desarollador de aplicaciones
desarrollador aplicaciones multiplataforma,application developer,desarrollador aplicaciones multiplataforma
desarrollador de aplicaciones,application developer,desarrollador de aplicaciones
desarrollo aplicacion web,application development,desarrollo aplicacion web
ingeniero de aplicaciones,application engineer,ingeniero de aplicaciones
administrador de aplicaciones,application manager,administrador de aplicaciones
director aplicaciones,application manager,director aplicaciones
programador de aplicaciones,application programmer,programador de aplicaciones
analista programador aplicaciones web,applications analyst,analista programador aplicaciones web
analista programador de aplicaciones,applications analyst,analista programador de aplicaciones
desarrollador aplicaciones informaticas,applications developer,desarrollador aplicaciones informaticas
desarrollador apps,applications developer,desarrollador apps
desarrolladora aplicaciones,applications developer,desarrolladora aplicaciones
desarrollo aplicaciones informaticas,applications development manager,desarrollo aplicaciones informaticas
desarrollo aplicaciones moviles,applications development manager,desarrollo aplicaciones moviles
responsable desarrollo aplicaciones,applications development manager,responsable desarrollo aplicaciones
tecnico superior desarrollo aplicaciones informaticas,applications development manager,tecnico superior desarrollo aplicaciones informaticas
tecnico soporte aplicaciones,applications support,tecnico soporte aplicaciones
aprendiz,apprentice,aprendiz
aprendiz delineante,apprentice,aprendiz delineante
aprendiz fontaneria,apprentice,aprendiz fontaneria
aprendiz mantenimiento,apprentice,aprendiz mantenimiento
aprendiz encargado,apprentice manager,aprendiz encargado
electricista oficial segunda,approved electrician,electricista oficial segunda
arquitecto,architect,arquitecto
arquitecto departamento,architect,arquitecto departamento
arquitecto redactor,architect,arquitecto redactor
arquitecto tecnico administrador,architect,arquitecto tecnico administrador
arquitecto director,architect director,arquitecto director
arquitecto superior,architect director,arquitecto superior
arquitecto director obras,architect project leader,arquitecto director obras
arquitecto urbanista,architect urban designer,arquitecto urbanista
arquitecto coloborador,architectural consultant,arquitecto coloborador
arquitecto proyectista,architectural designer,arquitecto proyectista
arquitecto gerente,architectural manager,arquitecto gerente
archivero,archivist,archivero
archivero en practicas,archivist,archivero en practicas
responsable area desarrollo,area development manager,responsable area desarrollo
director area servicios,area manager,director area servicios
encargado de area,area manager,encargado de area
gerente area,area manager,gerente area
jefe de area,area manager,jefe de area
facultativo area aparato digestivo,area sales manager,facultativo area aparato digestivo
oficial ejercito,army officer,oficial ejercito
asesor de arte,art consultant,asesor de arte
director arte,art director,director arte
director de arte,art director,director de arte
profesor de arte,art teacher,profesor de arte
artista,artist,artista
asistente artista,artist assistant,asistente artista
director arte vestuario,artist director,director arte vestuario
escultor,artist sculptor,escultor
artista docente,artist teacher,artista docente
ensamblador,assembler,ensamblador
montador cubiertas,assembler,montador cubiertas
montador equipos,assembler,montador equipos
montador muebles,assembler,montador muebles
oficial montador soldador,assembler,oficial montador soldador
ingeniero montaje,assembly engineer,ingeniero montaje
montador ajustador,assembly fitter,montador ajustador
director montaje,assembly manager,director montaje
director montajes,assembly manager,director montajes
encargado montaje,assembly manager,encargado montaje
encargado montajes,assembly manager,encargado montajes
jefe montaje,assembly manager,jefe montaje
oficial montajes,assembly manager,oficial montajes
operario cadena montaje,assembly operator,operario cadena montaje
operario de cadena de montaje,assembly operator,operario de cadena de montaje
operario de linea de montaje,assembly operator,operario de linea de montaje
oficial montador,assembly worker,oficial montador
operario de montaje,assembly worker,operario de montaje
gestor pyme,assessment manager,gestor pyme
grabador verificador datos,assessor verifier,grabador verificador datos
gestor de activos,asset manager,gestor de activos
gestor de patrimonio,asset manager,gestor de patrimonio
coordinador asistencia,assistance coordinator,coordinador asistencia
asistente,assistant,asistente
asistente consejero delegado,assistant,asistente consejero delegado
asistente establecimiento,assistant,asistente establecimiento
asistente firmas,assistant,asistente firmas
asistente judicial,assistant,asistente judicial
asistente junior,assistant,asistente junior
asistente planta,assistant,asistente planta
asistente polivalente,assistant,asistente polivalente
asistente procurador,assistant,asistente procurador
asistente responsable,assistant,asistente responsable
asistente rodaje,assistant,asistente rodaje
asistente seleccion,assistant,asistente seleccion
auxiliar,assistant,auxiliar
auxiliar audiovisual,assistant,auxiliar audiovisual
auxiliar judicial,assistant,auxiliar judicial
auxiliar juegos,assistant,auxiliar juegos
auxiliar medio ambiente,assistant,auxiliar medio ambiente
auxiliar reponedor,assistant,auxiliar reponedor
auxiliar reposicion,assistant,auxiliar reposicion
auxiliar reservas,assistant,auxiliar reservas
ayudante,assistant,ayudante
ayudante archivos,assistant,ayudante archivos
ayudante de maquinas,assistant,ayudante de maquinas
ayudante fontaneria,assistant,ayudante fontaneria
ayudante gabinete,assistant,ayudante gabinete
ayudante inspector,assistant,ayudante inspector
ayudante jefe planta,assistant,ayudante jefe planta
ayudante procurador,assistant,ayudante procurador
ayudante responsable,assistant,ayudante responsable
ayudante script,assistant,ayudante script
asistente ejecutivo cuentas,assistant account executive,asistente ejecutivo cuentas
asistente ejecutivo de cuentas,assistant account executive,asistente ejecutivo de cuentas
ayudante ejecutivo cuentas,assistant account executive,ayudante ejecutivo cuentas
auxiliar contable,assistant accountant,auxiliar contable
administrador adjunto,assistant administrator,administrador adjunto
asistente gestor,assistant advisor,asistente gestor
ayudante asesor,assistant advisor,ayudante asesor
agente auxiliar,assistant agent,agente auxiliar
asistente director arte,assistant art director,asistente director arte
auditor asistente,assistant auditor,auditor asistente
ayudante jefe,assistant chief engineer,ayudante jefe
entrenador asistente,assistant coach,entrenador asistente
asistente consultor,assistant consultant,asistente consultor
auxiliar consulta,assistant consultant,auxiliar consulta
ayudante consultor,assistant consultant,ayudante consultor
consultor auxiliar,assistant consultant,consultor auxiliar
asistente coordinador,assistant coordinator,asistente coordinador
coordinador adjunto,assistant coordinator,coordinador adjunto
desarrollador auxiliar diseno web,assistant designer,desarrollador auxiliar diseno web
asistente director,assistant director,asistente director
asistente director operaciones,assistant director operations,asistente director operaciones
asistente director ventas,assistant director sales,asistente director ventas
asistente editor,assistant editor,asistente editor
ayudante editor,assistant editor,ayudante editor
ayudante produccion redaccion,assistant editor,ayudante produccion redaccion
redactor adjunto,assistant editor,redactor adjunto
asistente ingeniero,assistant engineer,asistente ingeniero
asistente director ejecutivo,assistant executive director,asistente director ejecutivo
asistente gerente general,assistant general manager,asistente gerente general
adjunto gerencia,assistant manager,adjunto gerencia
asistente encargado,assistant manager,asistente encargado
ayudante jefe unidad,assistant manager,ayudante jefe unidad
encargado adjunto,assistant manager,encargado adjunto
sudirector de oficina,assistant office manager,sudirector de oficina
ayudante operador,assistant operator,ayudante operador
ayudante pasteleria,assistant pastry chef,ayudante pasteleria
asistente de presidente,assistant president,asistente de presidente
asistente banca,assistant private banker,asistente banca
auxiliar bancario,assistant private banker,auxiliar bancario
profesor ayudante,assistant professor,profesor ayudante
profesor ayudante facultad,assistant professor,profesor ayudante facultad
profesora ayudante universitaria,assistant professor,profesora ayudante universitaria
asistente relaciones,assistant relationship manager,asistente relaciones
ayudante secretario,assistant secretary,ayudante secretario
ayudante de seccion,assistant section manager,ayudante de seccion
adjunto director tienda,assistant store manager,adjunto director tienda
ayudante jefe almacen,assistant store manager,ayudante jefe almacen
asistente supervisor,assistant supervisor,asistente supervisor
ayudante supervisor,assistant supervisor,ayudante supervisor
maestro auxiliar,assistant teacher,maestro auxiliar
profesor asistente,assistant teacher,profesor asistente
profesor auxiliar,assistant teacher,profesor auxiliar
ayudante jefe oficina tecnico,assistant technical officer,ayudante jefe oficina tecnico
asociados,associate,asociados
colaborador asociado,associate,colaborador asociado
abogado asociado principal,associate attorney,abogado asociado principal
consultor asociado,associate consultant,consultor asociado
director creativo asociado,associate creative director,director creativo asociado
director asociado,associate director,director asociado
editor asociado,associate editor,editor asociado
ingeniero asociado,associate engineer,ingeniero asociado
abogado asociado,associate lawyer,abogado asociado
adjunta jefe,associate manager,adjunta jefe
adjunta jefe tienda,associate manager,adjunta jefe tienda
jefe asociado,associate manager,jefe asociado
profesor adjunto,associate professor,profesor adjunto
profesor asociado,associate professor,profesor asociado
profesor asociado asistencial,associate professor,profesor asociado asistencial
tramitador siniestros diversos,associate solicitor,tramitador siniestros diversos
abogado,attorney,abogado
apoderado,attorney,apoderado
procurador,attorney,procurador
notario,attorney law notary public,notario
administrativo auditoria,audit administrator,administrativo auditoria
asistente de auditoria,audit assistant,asistente de auditoria
asesor auditor,audit consultant,asesor auditor
asesor fiscal auditor,audit consultant,asesor fiscal auditor
consultor auditor formador,audit consultant,consultor auditor formador
consultor auditora,audit consultant,consultor auditora
director de auditoria,audit director,director de auditoria
auditor gerente,audit manager,auditor gerente
auditor jefe calidad medio ambiente,audit manager,auditor jefe calidad medio ambiente
auditor jefe equipo,audit manager,auditor jefe equipo
auditor jefe sistemas gestion,audit manager,auditor jefe sistemas gestion
auditor,auditor,auditor
auditor cuentas roac,auditor,auditor cuentas roac
auditor mercado,auditor,auditor mercado
auditor riesgos tecnologicos,auditor,auditor riesgos tecnologicos
interventor adjunto,auditor,interventor adjunto
interventor delegado,auditor,interventor delegado
consultor auditor,auditor consultant,consultor auditor
autor,author,autor
agente autorizado,authorized officer,agente autorizado
ingeniero automatismos,automation engineer,ingeniero automatismos
ingeniero automatizacion industrial,automation engineer,ingeniero automatizacion industrial
asesor de automocion,automotive consultant,asesor de automocion
consultor de automocion,automotive consultant,consultor de automocion
automocion,automotive engineer,automocion
ingeniero calidad automocion,automotive engineer,ingeniero calidad automocion
jefe automocion,automotive engineer,jefe automocion
profesor tecnico automocion,automotive technician,profesor tecnico automocion
tecnico automocion,automotive technician,tecnico automocion
tecnico automovilistico,automotive technician,tecnico automovilistico
auxiliar ayuda domiciliaria,auxiliary nurse,auxiliar ayuda domiciliaria
auxiliar enfermeria administrativo,auxiliary nurse,auxiliar enfermeria administrativo
auxiliar enfermeria ayuda domicilio,auxiliary nurse,auxiliar enfermeria ayuda domicilio
auxiliar sanitario,auxiliary nurse,auxiliar sanitario
tecnico auxiliar de cuidados de enfermeria,auxiliary nurse,tecnico auxiliar de cuidados de enfermeria
agentee judicial,bailiff,agentee judicial
hornero,baker,hornero
oficial panadero,baker,oficial panadero
panadero,baker,panadero
panadero pastelero,baker,panadero pastelero
pastelero,baker,pastelero
auxiliar administrativo de banca,bank clerk,auxiliar administrativo de banca
cajero entidad bancaria,bank employee,cajero entidad bancaria
empleado banca practicas,bank employee,empleado banca practicas
empleado de banca,bank employee,empleado de banca
empleado oficina bancaria,bank employee,empleado oficina bancaria
gestor activos bancarios,bank manager,gestor activos bancarios
responsable banca,bank manager,responsable banca
subdirector entidad bancaria,bank manager,subdirector entidad bancaria
operador banca,bank officer,operador banca
operario banca,bank officer,operario banca
operativo banca,bank officer,operativo banca
banquero,banker,banquero
cajero oficina bancaria,banker,cajero oficina bancaria
asesor de banca,banking advisor,asesor de banca
analista banca,banking analyst,analista banca
analista funcional banca,banking analyst,analista funcional banca
consultor banca,banking consultant,consultor banca
consultor banca privada,banking consultant,consultor banca privada
cajero banca gestor,banking manager,cajero banca gestor
directivo banca,banking manager,directivo banca
gerente banca corporativa,banking manager,gerente banca corporativa
gestor banca minorista,banking manager,gestor banca minorista
gestor bancario,banking manager,gestor bancario
gestor de banca,banking manager,gestor de banca
administrativo de banca,banking officer,administrativo de banca
oficial banca,banking officer,oficial banca
coordinador de banquetes,banquet coordinator,coordinador de banquetes
camarero de banquete,banquet server,camarero de banquete
encargado de barra,bar manager,encargado de barra
hostelero,bar restaurant manager,hostelero
camarero de barra,bar waiter,camarero de barra
camarero encargado barra,bartender,camarero encargado barra
camarero / jefe de barra,bartender waiter,camarero / jefe de barra
camarero bar copas,bartender waiter,camarero bar copas
camarero barman,bartender waiter,camarero barman
camarero barra sala,bartender waiter,camarero barra sala
camarero barra sala terraza,bartender waiter,camarero barra sala terraza
camarero comedor barra,bartender waiter,camarero comedor barra
camarero mesa barra,bartender waiter,camarero mesa barra
camarero sala barra,bartender waiter,camarero sala barra
pinche cocina camarero,bartender waiter,pinche cocina camarero
entrenador de baloncesto,basketball coach,entrenador de baloncesto
entrenador superior baloncesto,basketball coach,entrenador superior baloncesto
bajista,bass guitarist,bajista
apicultor,beekeeper,apicultor
administrativo prestaciones,benefits administrator,administrativo prestaciones
responsable prestaciones,benefits manager,responsable prestaciones
jefe proyecto bi,bi project manager,jefe proyecto bi
administrativo licitaciones,bid coordinator,administrativo licitaciones
responsable ofertas,bid manager,responsable ofertas
administrador bi,billing administrator,administrador bi
bloguero,blogger,bloguero
miembro pleno,board member,miembro pleno
agente de reservas,booking agent,agente de reservas
agente de reservas individuales,booking agent,agente de reservas individuales
responsable departamento reservas,booking manager,responsable departamento reservas
librero,bookseller,librero
vendedor libros,bookseller,vendedor libros
auxiliar taquilla,box office assistant,auxiliar taquilla
taquillero,box office assistant,taquillero
administrativo sucursal bancaria,branch administrator,administrativo sucursal bancaria
director de sucursal,branch director,director de sucursal
director sucursales,branch director,director sucursales
